1. [1] Dolo 650 650mg | Tablet | Micro Labs
8321. [8321] Sulflozin 500mg | Tablet | Alembic
8322. [8322] Linprazole Forte 100mg | Sachet | Macleods
8323. [8323] Trilolukast ER 20ml | Powder | Emcure
8324. [8324] Panisolone 40mg | Sachet | Mankind
8325. [8325] Cidmycin SR 20ml | Powder | Pfizer
8326. [8326] Clinbuvir 50mg | Syrup | Zydus Cadila
8327. [8327] Azlolone 20mg | Powder | Serum Institute
8328. [8328] Atordoc 650mg | Sachet | Micro Labs
8329. [8329] Amoxzine 800mg | Capsule | Emcure
8330. [8330] Pandipine 0.5mg | Tablet | Intas
8331. [8331] Linexacin 1mg | Injection | USV
8332. [8332] Velsolone ER 500mg | Capsule | Mankind
8333. [8333] Cefstin D 40mg | Powder | Macleods
8334. [8334] Fospiride O 1000mg | Drops | Mankind
8335. [8335] Azlozole O 2gm | Cream | USV
8336. [8336] Omekacin SR 25mg | Cream | Alembic
8337. [8337] Pentine Forte 1gm | Capsule | Ipca
8338. [8338] Novemycin M 1gm | Capsule | Dr. Reddys
8339. [8339] Amokacin 50mg | Cream | Torrent
8340. [8340] Clinsolone SR 25mg | Capsule | Novartis
8341. [8341] Lineral 10mg | Injection | Pfizer
8342. [8342] Aciformin 200mg | Cream | Novartis
8343. [8343] Pancoxib ER 50mg | Syrup | Mankind
8344. [8344] Ampnide D 150mg | Syrup | Serum Institute
8345. [8345] Velzolid D 800mg | Syrup | Novartis
8346. [8346] Diclozine 200mg | Powder | Wockhardt
8347. [8347] Levterol 5mg | Powder | Alembic
8348. [8348] Avizosin D 75mg | Ointment | Intas
8349. [8349] Colpitant M 500mg | Drops | Torrent
8350. [8350] Tenral 100mg | Ointment | Micro Labs
8351. [8351] Linpitant Forte 50mcg | Syrup | Cipla
8352. [8352] Tazosolone 150mg | Powder | Intas
8353. [8353] Soflukast O 1000mg | Powder | Novartis
8354. [8354] Ampprazole 200mcg | Cream | Torrent
8355. [8355] Metcoxib 5mg | Cream | Novartis
8356. [8356] Amozine O 40mg | Powder | Abbott
8357. [8357] Cetma SR 10ml | Cream | USV
8358. [8358] Ribapine 20mg | Powder | Wockhardt
8359. [8359] Sofkast Plus 25mg | Powder | GSK
8360. [8360] Levpitant A 5mg | Ointment | Mankind
8361. [8361] Rosuox Plus 25mg | Powder | Micro Labs
8362. [8362] Dapzolam Plus 200mg | Injection | Aristo
8363. [8363] Cefral 0.5mg | Sachet | USV
8364. [8364] Erypenem 10mg | Syrup | Abbott
8365. [8365] Eryclav 200mg | Ointment | Torrent
8366. [8366] Doristatin 150mg | Inhaler | Sanofi
8367. [8367] Lintine M 200mcg | Powder | Pfizer
8368. [8368] Cilfungin 20ml | Tablet | GSK
8369. [8369] Amodoc 75mg | Sachet | J.B. Chemicals
8370. [8370] Ciltine A 40mg | Capsule | Glenmark
8371. [8371] Vabomicin A 250mg | Injection | Lupin
8372. [8372] Acixacin 5mg | Powder | Lupin
8373. [8373] Pivsetron Plus 10mg | Cream | Aristo
8374. [8374] Erymycin M 100mcg | Syrup | GSK
8375. [8375] Cloxma Plus 20ml | Injection | Lupin
8376. [8376] Novemycin 200mcg | Syrup | Ipca
8377. [8377] Cidprevir O 1mg | Cream | Micro Labs
8378. [8378] Oxaxacin 650mg | Sachet | GSK
8379. [8379] Nafline A 150mg | Injection | Emcure
8380. [8380] Vabostin 5mg | Sachet | Lupin
8381. [8381] Clavxacin 800mg | Drops | Micro Labs
8382. [8382] Dapkast 2mg | Injection | Wockhardt
8383. [8383] Valpium 500mg | Cream | Aristo
8384. [8384] Omepitant M 10ml | Cream | GSK
8385. [8385] Sanozolam O 40mg | Capsule | USV
8386. [8386] Vabofenac 10mg | Ointment | J.B. Chemicals
8387. [8387] Fosfungin 2gm | Cream | Lupin
8388. [8388] Ertapram M 100mcg | Sachet | Sanofi
8389. [8389] Nafsetron ER 250mg | Ointment | Intas
8390. [8390] Cetgliptin O 40mg | Capsule | USV
8391. [8391] Ledcet M 800mg | Injection | Pfizer
8392. [8392] Sulsartan 1000mg | Powder | Novartis
8393. [8393] Tenxicam 500mg | Ointment | Pfizer
8394. [8394] Clintine Plus 50mcg | Injection | Zydus Cadila
8395. [8395] Cillukast 100mcg | Syrup | J.B. Chemicals
8396. [8396] Diclotidine ER 20mg | Sachet | FDC
8397. [8397] Cilmycin 800mg | Capsule | Cipla
8398. [8398] Azithzosin SR 500mg | Ointment | Torrent
8399. [8399] Amlcillin 0.5mg | Inhaler | Novartis
8400. [8400] Montzolid O 800mg | Injection | Cipla
8401. [8401] Valsetron 200mcg | Cream | Biocon
8402. [8402] Linpraz ER 100mcg | Drops | Mankind
8403. [8403] Tazzosin SR 800mg | Tablet | Alembic
8404. [8404] Clavtine Plus 150mg | Capsule | Sanofi
8405. [8405] Cloxpine 1mg | Cream | Lupin
8406. [8406] Panima 10mg | Inhaler | Intas
8407. [8407] Panifungin SR 800mg | Drops | FDC
8408. [8408] Sitzolam 5ml | Injection | Aristo
8409. [8409] Nafpium Plus 100mg | Sachet | Emcure
8410. [8410] Tenprazole Plus 50mg | Inhaler | Aurobindo
8411. [8411] Acikacin A 1mg | Tablet | Serum Institute
8412. [8412] Colzolam SR 500mg | Syrup | Sanofi
8413. [8413] Cidprazole 20ml | Ointment | Sun Pharma
8414. [8414] Avizepam 20mg | Cream | Alkem
8415. [8415] Penpril O 0.5mg | Injection | Lupin
8416. [8416] Tenformin A 1gm | Injection | Sanofi
8417. [8417] Metvir 200mcg | Capsule | Wockhardt
8418. [8418] Meromycin M 500mg | Capsule | GSK
8419. [8419] Meroclav Plus 1gm | Syrup | USV
8420. [8420] Azithpram A 10ml | Syrup | Torrent
8421. [8421] Amoxzolid D 20ml | Sachet | USV
8422. [8422] Clavzepam O 50mg | Injection | Micro Labs
8423. [8423] Avicycline 50mcg | Sachet | FDC
8424. [8424] Atorzolam A 100mg | Ointment | Alembic
8425. [8425] Colclav 40mg | Powder | Macleods
8426. [8426] Rosumicin 0.5mg | Injection | FDC
8427. [8427] Oxazepam 650mg | Inhaler | J.B. Chemicals
8428. [8428] Fampraz 0.5mg | Injection | Glenmark
8429. [8429] Sulzole 20ml | Inhaler | Sun Pharma
8430. [8430] Linefine M 5ml | Capsule | Zydus Cadila
8431. [8431] Amoxfenac A 800mg | Powder | Glenmark
8432. [8432] Linkast ER 1mg | Cream | Alkem
8433. [8433] Penzole 50mcg | Drops | Serum Institute
8434. [8434] Avidone Plus 200mcg | Cream | Dr. Reddys
8435. [8435] Paniline ER 1mg | Ointment | Zydus Cadila
8436. [8436] Sulstin 650mg | Cream | Torrent
8437. [8437] Linfenac M 5ml | Sachet | Novartis
8438. [8438] Vildformin D 500mg | Tablet | FDC
8439. [8439] Naftidine O 650mg | Cream | Glenmark
8440. [8440] Dapprazole 100mcg | Injection | Pfizer
8441. [8441] Rabprevir A 650mg | Capsule | Serum Institute
8442. [8442] Vabokacin 2mg | Ointment | Sun Pharma
8443. [8443] Clavsone Plus 50mg | Drops | Ipca
8444. [8444] Empconazole SR 1mg | Tablet | Sun Pharma
8445. [8445] Omepenem SR 1gm | Syrup | Torrent
8446. [8446] Merobuvir Forte 500mg | Syrup | Lupin
8447. [8447] Velpride O 100mg | Syrup | Intas
8448. [8448] Novepam 25mg | Ointment | USV
8449. [8449] Tazkacin 2mg | Inhaler | Cipla
8450. [8450] Glimmine SR 25mg | Capsule | Ipca
8451. [8451] Tazmycin M 50mcg | Inhaler | Serum Institute
8452. [8452] Aciline 20ml | Syrup | Sanofi
8453. [8453] Dapxacin 50mg | Cream | Ipca
8454. [8454] Panpiride O 800mg | Injection | Intas
8455. [8455] Taznide 5ml | Sachet | Cipla
8456. [8456] Azithmicin ER 0.5mg | Ointment | Macleods
8457. [8457] Amlcoxib D 5ml | Tablet | GSK
8458. [8458] Pantine O 20mg | Drops | Biocon
8459. [8459] Paranide 800mg | Syrup | Aristo
8460. [8460] Glimsetron D 20ml | Injection | Micro Labs
8461. [8461] Colprofen 150mg | Drops | Aurobindo
8462. [8462] Metzolid SR 650mg | Tablet | Emcure
8463. [8463] Amlkast SR 40mg | Powder | Emcure
8464. [8464] Azlozepam O 150mg | Drops | FDC
8465. [8465] Merobuvir O 2mg | Drops | Serum Institute
8466. [8466] Linecycline SR 2.5mg | Cream | Alembic
8467. [8467] Famstin M 2gm | Inhaler | Aristo
8468. [8468] Methfungin D 800mg | Powder | FDC
8469. [8469] Avimine 800mg | Ointment | Micro Labs
8470. [8470] Acivir M 20mg | Sachet | Abbott
8471. [8471] Dappenem 100mcg | Syrup | Aristo
8472. [8472] Pipfungin 75mg | Injection | J.B. Chemicals
8473. [8473] Azlotidine 50mg | Inhaler | Torrent
8474. [8474] Tazozine O 2.5mg | Syrup | Alembic
8475. [8475] Amppium O 100mg | Injection | Macleods
8476. [8476] Carbsone 10mg | Syrup | Biocon
8477. [8477] Methsolone 2gm | Drops | Zydus Cadila
8478. [8478] Vabozosin A 75mg | Ointment | Zydus Cadila
8479. [8479] Biastin 800mg | Powder | Sanofi
8480. [8480] Cilzolam 1000mg | Powder | Sanofi
8481. [8481] Cetmine M 50mg | Powder | Alembic
8482. [8482] Penzosin 1gm | Inhaler | Novartis
8483. [8483] Bacxacin D 1gm | Syrup | Abbott
8484. [8484] Amocycline 20ml | Cream | Torrent
8485. [8485] Aviprazole 50mcg | Ointment | Cipla
8486. [8486] Nafzolid D 650mg | Sachet | Torrent
8487. [8487] Amlpiride D 200mg | Tablet | FDC
8488. [8488] Cidpride SR 5ml | Tablet | FDC
8489. [8489] Biaxacin 50mcg | Inhaler | Cipla
8490. [8490] Meropril Forte 2gm | Sachet | Glenmark
8491. [8491] Vabokacin Forte 200mcg | Syrup | J.B. Chemicals
8492. [8492] Linedipine 200mg | Sachet | Abbott
8493. [8493] Veldipine A 400mg | Inhaler | Serum Institute
8494. [8494] Tazobuvir 75mg | Ointment | Alembic
8495. [8495] Ribapitant 1gm | Inhaler | Cipla
8496. [8496] Pandoc Plus 500mg | Syrup | Alkem
8497. [8497] Dapxicam O 50mcg | Ointment | Abbott
8498. [8498] Tigeprevir M 650mg | Injection | Zydus Cadila
8499. [8499] Merostin 2gm | Cream | Lupin
8500. [8500] Releterol O 1mg | Powder | Serum Institute
8501. [8501] Azithma D 200mg | Drops | Aurobindo
8502. [8502] Cidmycin O 150mg | Ointment | Cipla
8503. [8503] Oxabactam 20ml | Syrup | Wockhardt
8504. [8504] Azloxacin O 150mg | Sachet | Alembic
8505. [8505] Bacsartan SR 25mg | Powder | Alembic
8506. [8506] Cilkacin 2gm | Drops | Pfizer
8507. [8507] Imipram ER 200mcg | Tablet | Alembic
8508. [8508] Clavflozin A 1mg | Powder | Lupin
8509. [8509] Vaboconazole 200mcg | Drops | Aurobindo
8510. [8510] Tigemicin D 100mg | Capsule | Torrent
8511. [8511] Amlpitant 100mg | Inhaler | Dr. Reddys
8512. [8512] Tazlukast 5mg | Powder | Sanofi
8513. [8513] Bacpium 5ml | Drops | J.B. Chemicals
8514. [8514] Biazine 10mg | Sachet | Torrent
8515. [8515] Panbactam 250mg | Injection | Wockhardt
8516. [8516] Tigeline 200mg | Tablet | Intas
8517. [8517] Ertafine 100mg | Cream | Mankind
8518. [8518] Levtidine 50mcg | Powder | Macleods
8519. [8519] Empdipine 200mcg | Injection | USV
8520. [8520] Atorzosin 500mg | Powder | Torrent
8521. [8521] Imiformin 25mg | Powder | Dr. Reddys
8522. [8522] Imikast 10mg | Cream | Ipca
8523. [8523] Penzolid M 5mg | Drops | Abbott
8524. [8524] Veltidine 650mg | Ointment | USV
8525. [8525] Cilpiride O 1gm | Powder | Cipla
8526. [8526] Soffungin D 400mg | Inhaler | Alembic
8527. [8527] Avicillin 650mg | Capsule | Sanofi
8528. [8528] Vildlol 800mg | Syrup | Emcure
8529. [8529] Dorisone 2mg | Cream | Torrent
8530. [8530] Rosulam A 20mg | Ointment | Sanofi
8531. [8531] Acinide 20mg | Syrup | Intas
8532. [8532] Levdone 50mcg | Tablet | Wockhardt
8533. [8533] Cidpraz 10ml | Inhaler | Mankind
8534. [8534] Metral Forte 10ml | Drops | Dr. Reddys
8535. [8535] Parafine M 200mg | Powder | Intas
8536. [8536] Dacpraz ER 20ml | Injection | Zydus Cadila
8537. [8537] Taznide D 10mg | Tablet | FDC
8538. [8538] Amlxacin A 800mg | Drops | Alkem
8539. [8539] Panilone 1mg | Powder | Alkem
8540. [8540] Dapline 5mg | Tablet | Micro Labs
8541. [8541] Azithconazole M 50mg | Capsule | Aurobindo
8542. [8542] Ticaxacin 0.5mg | Cream | Zydus Cadila
8543. [8543] Relepine M 20ml | Inhaler | Mankind
8544. [8544] Novemicin 20mg | Tablet | Ipca
8545. [8545] Cilstatin 10mg | Powder | Glenmark
8546. [8546] Clinsolone A 400mg | Ointment | Lupin
8547. [8547] Panpril 50mg | Drops | Sanofi
8548. [8548] Linepraz 50mg | Capsule | Abbott
8549. [8549] Dorifine Forte 2gm | Injection | Glenmark
8550. [8550] Dorixicam 5mg | Powder | Serum Institute
8551. [8551] Ertamine 650mg | Capsule | Abbott
8552. [8552] Aviflozin SR 5mg | Capsule | Sanofi
8553. [8553] Fambactam 20mg | Powder | J.B. Chemicals
8554. [8554] Azithdone 100mg | Inhaler | Mankind
8555. [8555] Parapenem SR 250mg | Drops | Pfizer
8556. [8556] Ribapam Forte 50mcg | Powder | Pfizer
8557. [8557] Azithlam 800mg | Inhaler | Emcure
8558. [8558] Amonide 500mg | Drops | Micro Labs
8559. [8559] Fosfungin Forte 2mg | Injection | Alkem
8560. [8560] Carbma M 10mg | Injection | Aristo
8561. [8561] Vildpiride M 200mg | Syrup | Alembic
8562. [8562] Ganclav 1gm | Tablet | Serum Institute
8563. [8563] Paniconazole ER 2mg | Inhaler | Macleods
8564. [8564] Clavbactam 20mg | Inhaler | Intas
8565. [8565] Sofvir 200mg | Syrup | Biocon
8566. [8566] Azithconazole ER 40mg | Cream | Wockhardt
8567. [8567] Sulmycin 20ml | Sachet | Alembic
8568. [8568] Cetkast ER 10ml | Inhaler | Mankind
8569. [8569] Foscet 500mg | Injection | GSK
8570. [8570] Levxacin 5ml | Sachet | Novartis
8571. [8571] Dorilukast 75mg | Ointment | J.B. Chemicals
8572. [8572] Diclozine 75mg | Inhaler | Alkem
8573. [8573] Levvir 100mcg | Ointment | Lupin
8574. [8574] Sitsone D 1000mg | Sachet | Sun Pharma
8575. [8575] Azlozosin SR 250mg | Syrup | Alembic
8576. [8576] Sofline M 200mcg | Tablet | J.B. Chemicals
8577. [8577] Telmicin Forte 200mg | Powder | Zydus Cadila
8578. [8578] Carbma 0.5mg | Drops | Novartis
8579. [8579] Ledkacin M 800mg | Syrup | Wockhardt
8580. [8580] Triloformin 5mg | Ointment | Abbott
8581. [8581] Rabzole D 800mg | Syrup | Intas
8582. [8582] Clavkast 200mcg | Sachet | Biocon
8583. [8583] Dicloasvir 10mg | Injection | Cipla
8584. [8584] Bacclav Plus 250mg | Inhaler | Biocon
8585. [8585] Amlclav SR 10mg | Drops | Cipla
8586. [8586] Tenpride O 400mg | Capsule | Sun Pharma
8587. [8587] Amoclav SR 200mg | Injection | Micro Labs
8588. [8588] Dorimine Forte 5ml | Inhaler | Emcure
8589. [8589] Oxamycin O 25mg | Inhaler | Pfizer
8590. [8590] Rosuterol M 2gm | Injection | Aurobindo
8591. [8591] Lineterol A 150mg | Syrup | Serum Institute
8592. [8592] Montzolam 2mg | Injection | Lupin
8593. [8593] Panpiride A 1mg | Injection | J.B. Chemicals
8594. [8594] Pencet SR 40mg | Cream | Aurobindo
8595. [8595] Sittine ER 10ml | Drops | Wockhardt
8596. [8596] Tazobuvir SR 20mg | Sachet | Ipca
8597. [8597] Relecillin 20ml | Tablet | Aristo
8598. [8598] Metsolone 150mg | Powder | Emcure
8599. [8599] Bacral 50mg | Sachet | Lupin
8600. [8600] Taztidine D 1gm | Injection | J.B. Chemicals
8601. [8601] Montline 50mg | Inhaler | Dr. Reddys
8602. [8602] Sulasvir 150mg | Inhaler | Intas
8603. [8603] Montral 75mg | Inhaler | Dr. Reddys
8604. [8604] Pipbuvir 50mcg | Drops | Ipca
8605. [8605] Linelam D 10mg | Inhaler | Aristo
8606. [8606] Cilpine Plus 1000mg | Syrup | Cipla
8607. [8607] Tazopam Plus 650mg | Ointment | Aristo
8608. [8608] Telline 75mg | Tablet | Sanofi
8609. [8609] Biaxacin 100mg | Powder | Lupin
8610. [8610] Tigedipine O 20mg | Powder | Novartis
8611. [8611] Rosuxicam O 100mg | Syrup | Serum Institute
8612. [8612] Acipram 500mg | Tablet | Torrent
8613. [8613] Novexicam 800mg | Powder | Alembic
8614. [8614] Amobuvir 200mg | Injection | Dr. Reddys
8615. [8615] Panprazole Plus 800mg | Syrup | Cipla
8616. [8616] Sitprazole 100mg | Inhaler | Sun Pharma
8617. [8617] Empflozin D 400mg | Syrup | J.B. Chemicals
8618. [8618] Ertapam A 2gm | Injection | Alkem
8619. [8619] Diclocet O 200mg | Sachet | Lupin
8620. [8620] Cloxpride 1000mg | Drops | FDC
8621. [8621] Cilpenem Forte 2.5mg | Tablet | Biocon
8622. [8622] Pivkacin 25mg | Sachet | Sun Pharma
8623. [8623] Amlvir SR 10ml | Ointment | Alembic
8624. [8624] Biacycline 10ml | Injection | Intas
8625. [8625] Meropraz 10mg | Cream | Sun Pharma
8626. [8626] Cetpium ER 2.5mg | Drops | FDC
8627. [8627] Oxapium M 75mg | Capsule | Sun Pharma
8628. [8628] Metasvir Forte 50mcg | Inhaler | Alkem
8629. [8629] Ertaprofen ER 2.5mg | Inhaler | Abbott
8630. [8630] Ribanide 1mg | Capsule | Serum Institute
8631. [8631] Amozosin M 75mg | Powder | Serum Institute
8632. [8632] Biadoc 2gm | Injection | Sanofi
8633. [8633] Cloxnide M 5ml | Ointment | Cipla
8634. [8634] Sanoasvir A 400mg | Powder | Zydus Cadila
8635. [8635] Telcet 800mg | Syrup | Lupin
8636. [8636] Ampfenac M 1gm | Ointment | Dr. Reddys
8637. [8637] Rabpril 25mg | Ointment | Intas
8638. [8638] Dicloformin A 1000mg | Cream | Biocon
8639. [8639] Sofdipine 150mg | Cream | Glenmark
8640. [8640] Ertapium M 20ml | Cream | Serum Institute
8641. [8641] Tigecillin 2.5mg | Tablet | Pfizer
8642. [8642] Erysolone 1gm | Tablet | GSK
8643. [8643] Glimlukast O 2.5mg | Tablet | Alembic
8644. [8644] Pansone A 1000mg | Powder | Sanofi
8645. [8645] Tigedoc 1000mg | Syrup | Macleods
8646. [8646] Amppine Plus 250mg | Injection | Ipca
8647. [8647] Pipma 1mg | Inhaler | Torrent
8648. [8648] Methcoxib Plus 50mcg | Drops | Lupin
8649. [8649] Cilfine ER 200mcg | Inhaler | Emcure
8650. [8650] Carbmine Forte 1mg | Ointment | Wockhardt
8651. [8651] Bactine 400mg | Drops | Ipca
8652. [8652] Dapox O 100mcg | Sachet | Biocon
8653. [8653] Biafungin SR 400mg | Cream | Glenmark
8654. [8654] Merozolid 200mg | Powder | GSK
8655. [8655] Erydoc Forte 50mcg | Injection | USV
8656. [8656] Panpine 800mg | Powder | Cipla
8657. [8657] Levvir Plus 10ml | Tablet | Sanofi
8658. [8658] Dicloox Plus 400mg | Injection | Wockhardt
8659. [8659] Famfungin Plus 50mg | Tablet | Novartis
8660. [8660] Oxalam 150mg | Inhaler | J.B. Chemicals
8661. [8661] Paraxacin SR 5ml | Cream | J.B. Chemicals
8662. [8662] Nafzole Plus 75mg | Tablet | Aurobindo
8663. [8663] Relexacin 5mg | Tablet | Sun Pharma
8664. [8664] Eryxicam 10mg | Syrup | FDC
8665. [8665] Carbpine 50mcg | Syrup | Sun Pharma
8666. [8666] Ticaprevir 50mcg | Inhaler | Cipla
8667. [8667] Amoxpril Forte 500mg | Sachet | Zydus Cadila
8668. [8668] Famzolid 800mg | Inhaler | Sanofi
8669. [8669] Montpitant A 1000mg | Syrup | Sanofi
8670. [8670] Clinzepam 40mg | Sachet | Glenmark
8671. [8671] Azlopam D 150mg | Syrup | FDC
8672. [8672] Levox D 800mg | Powder | Emcure
8673. [8673] Tellol 150mg | Tablet | Abbott
8674. [8674] Emptine 650mg | Injection | Intas
8675. [8675] Farkacin 800mg | Cream | Intas
8676. [8676] Oxama SR 2gm | Syrup | Intas
8677. [8677] Rabpiride Plus 10mg | Capsule | Zydus Cadila
8678. [8678] Sofral 650mg | Cream | Novartis
8679. [8679] Panpam 800mg | Inhaler | Aurobindo
8680. [8680] Glimpride M 20mg | Tablet | Micro Labs
8681. [8681] Amoxfenac ER 20ml | Drops | Pfizer
8682. [8682] Aviprazole Plus 50mcg | Ointment | Sun Pharma
8683. [8683] Carbprazole O 800mg | Capsule | J.B. Chemicals
8684. [8684] Trilotidine 100mcg | Cream | Aristo
8685. [8685] Valtine 10mg | Drops | Abbott
8686. [8686] Famzine A 100mg | Drops | Glenmark
8687. [8687] Cidxicam Forte 100mcg | Sachet | Aurobindo
8688. [8688] Trilocoxib D 1gm | Drops | J.B. Chemicals
8689. [8689] Pipnide M 650mg | Ointment | Lupin
8690. [8690] Amoxfungin 50mcg | Powder | Pfizer
8691. [8691] Rabconazole O 800mg | Sachet | Aurobindo
8692. [8692] Colstatin A 20ml | Powder | Mankind
8693. [8693] Montfine M 10ml | Inhaler | Intas
8694. [8694] Bialam 2gm | Sachet | Emcure
8695. [8695] Daplukast 800mg | Capsule | Aristo
8696. [8696] Tenclav ER 200mg | Injection | Novartis
8697. [8697] Tazmine SR 250mg | Capsule | Ipca
8698. [8698] Penpril 10mg | Cream | J.B. Chemicals
8699. [8699] Penpam M 2gm | Sachet | Lupin
8700. [8700] Vaboclav 250mg | Capsule | Sun Pharma
8701. [8701] Panzolid O 2mg | Drops | Cipla
8702. [8702] Carbxacin M 250mg | Tablet | Ipca
8703. [8703] Omesetron 1mg | Cream | Macleods
8704. [8704] Cilcillin ER 50mg | Cream | FDC
8705. [8705] Cefprevir O 50mg | Inhaler | Aurobindo
8706. [8706] Novepine 20ml | Tablet | GSK
8707. [8707] Colpam ER 50mg | Cream | USV
8708. [8708] Rabfenac O 650mg | Capsule | Novartis
8709. [8709] Tenlam D 250mg | Ointment | Ipca
8710. [8710] Cetzepam 100mcg | Powder | Glenmark
8711. [8711] Glimzine D 75mg | Powder | Dr. Reddys
8712. [8712] Vildnide 2.5mg | Drops | Mankind
8713. [8713] Sitzolid ER 100mg | Ointment | Sun Pharma
8714. [8714] Linlone Plus 40mg | Injection | Lupin
8715. [8715] Vancformin SR 40mg | Inhaler | Biocon
8716. [8716] Diclodone Plus 500mg | Drops | Sanofi
8717. [8717] Panlone 25mg | Sachet | Sanofi
8718. [8718] Emplone D 5mg | Injection | Alembic
8719. [8719] Vancfine SR 1gm | Sachet | FDC
8720. [8720] Ganzole O 75mg | Injection | Intas
8721. [8721] Ribadipine 75mg | Tablet | Alembic
8722. [8722] Omezine ER 150mg | Drops | FDC
8723. [8723] Biatidine 2.5mg | Powder | Abbott
8724. [8724] Nafpram ER 100mcg | Capsule | FDC
8725. [8725] Metstin 75mg | Tablet | Zydus Cadila
8726. [8726] Atorsetron 200mg | Inhaler | Micro Labs
8727. [8727] Cefvir Plus 10ml | Syrup | Novartis
8728. [8728] Rabfenac 650mg | Ointment | Mankind
8729. [8729] Telpiride 200mg | Cream | Aristo
8730. [8730] Rabstin 20mg | Injection | Aurobindo
8731. [8731] Azloprazole 10mg | Tablet | Biocon
8732. [8732] Linzole 1000mg | Sachet | J.B. Chemicals
8733. [8733] Pipral 10ml | Inhaler | Sanofi
8734. [8734] Carbnide 500mg | Ointment | Aurobindo
8735. [8735] Cilpiride D 200mg | Syrup | Dr. Reddys
8736. [8736] Ribapium 2gm | Tablet | Pfizer
8737. [8737] Novepraz 1gm | Tablet | USV
8738. [8738] Levpam 50mcg | Powder | Lupin
8739. [8739] Tazomycin 400mg | Sachet | Sun Pharma
8740. [8740] Biazolam ER 5mg | Injection | Biocon
8741. [8741] Clavzepam M 2.5mg | Injection | Glenmark
8742. [8742] Ampzole 1gm | Powder | Micro Labs
8743. [8743] Clincet 200mg | Sachet | Torrent
8744. [8744] Linemine M 10mg | Powder | Dr. Reddys
8745. [8745] Nafpium 150mg | Powder | Mankind
8746. [8746] Colline A 10mg | Ointment | Pfizer
8747. [8747] Metkacin ER 10mg | Sachet | Sun Pharma
8748. [8748] Novecycline 200mcg | Injection | Emcure
8749. [8749] Diclozosin A 400mg | Tablet | Ipca
8750. [8750] Sulkacin A 75mg | Drops | Torrent
8751. [8751] Atorxacin ER 100mcg | Sachet | Macleods
8752. [8752] Ampconazole 500mg | Syrup | J.B. Chemicals
8753. [8753] Bacpium D 1000mg | Capsule | GSK
8754. [8754] Cillam SR 100mg | Cream | Alembic
8755. [8755] Meropitant 25mg | Drops | Alkem
8756. [8756] Penkast M 10mg | Drops | Zydus Cadila
8757. [8757] Levflozin 200mg | Powder | Alembic
8758. [8758] Vancmycin Plus 10mg | Drops | Mankind
8759. [8759] Panidoc 20mg | Cream | Mankind
8760. [8760] Aciline D 400mg | Sachet | Novartis
8761. [8761] Linsolone M 1mg | Cream | Lupin
8762. [8762] Ganxicam 20mg | Ointment | Cipla
8763. [8763] Sofzosin 100mcg | Powder | Dr. Reddys
8764. [8764] Bacstin O 20ml | Drops | Aristo
8765. [8765] Vancpium 50mg | Injection | Pfizer
8766. [8766] Tazopium D 800mg | Ointment | Dr. Reddys
8767. [8767] Pipzepam M 20ml | Cream | USV
8768. [8768] Cefpitant 25mg | Ointment | Ipca
8769. [8769] Oxaasvir 40mg | Injection | Torrent
8770. [8770] Sofox 100mcg | Cream | Mankind
8771. [8771] Ganfungin 5ml | Drops | FDC
8772. [8772] Cildone O 200mcg | Inhaler | Wockhardt
8773. [8773] Panicoxib 200mg | Tablet | Biocon
8774. [8774] Rabpram 800mg | Cream | Glenmark
8775. [8775] Vaboral 50mcg | Ointment | Serum Institute
8776. [8776] Dacsetron 25mg | Drops | Aristo
8777. [8777] Fosflozin A 150mg | Ointment | Alembic
8778. [8778] Dapsetron 50mg | Drops | USV
8779. [8779] Parafine 500mg | Injection | Emcure
8780. [8780] Sanomine Forte 500mg | Inhaler | Micro Labs
8781. [8781] Panilone Forte 20mg | Drops | Wockhardt
8782. [8782] Cidxacin Forte 0.5mg | Drops | Wockhardt
8783. [8783] Acibactam A 2gm | Inhaler | Micro Labs
8784. [8784] Linfenac 2mg | Sachet | Torrent
8785. [8785] Montstatin Forte 40mg | Powder | USV
8786. [8786] Farzine Forte 250mg | Cream | Macleods
8787. [8787] Paraconazole SR 20ml | Cream | Micro Labs
8788. [8788] Acipril SR 20ml | Powder | Wockhardt
8789. [8789] Tazox SR 20mg | Ointment | Aristo
8790. [8790] Telpitant 5mg | Inhaler | Glenmark
8791. [8791] Dapzosin 150mg | Injection | Glenmark
8792. [8792] Dapcoxib 250mg | Capsule | FDC
8793. [8793] Glimprevir D 20mg | Syrup | Aurobindo
8794. [8794] Daplone 200mg | Powder | GSK
8795. [8795] Releterol SR 75mg | Drops | Novartis
8796. [8796] Pivkacin ER 1mg | Cream | Biocon
8797. [8797] Sofpium O 75mg | Cream | Biocon
8798. [8798] Cetbuvir 40mg | Ointment | Dr. Reddys
8799. [8799] Farcoxib Plus 1gm | Inhaler | Lupin
8800. [8800] Oxapram O 10mg | Capsule | Macleods
8801. [8801] Farfungin M 20mg | Drops | Torrent
8802. [8802] Bacpine O 2gm | Cream | GSK
8803. [8803] Cetsolone Plus 1000mg | Syrup | Dr. Reddys
8804. [8804] Linekast 2.5mg | Cream | Micro Labs
8805. [8805] Vabolam 200mcg | Sachet | Sun Pharma
8806. [8806] Clavpride ER 100mcg | Ointment | Serum Institute
